review_id,user_name,user_type,rating,review_text,state,num_tires,amount_spent,tire_size,vehicle_type,purchase_date,usage_time_months,driving_conditions,usage_frequency,tire_brand,repeat_purchase,reported_issues,vehicle_model,recommendation,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos
1,Gregory and Sons,company,5,"Great tires, very durable and reliable.",Tlaxcala,2,3627.17,265/70R17,motorcycle,2024-08-24,21,highway,high,Goodyear,Yes,excellent grip,Hour 641,No,0.0,0.549,0.451,0.6249,0.004521752241998911,0.07333018630743027,0.9221481084823608
2,"Miller, Weber and Lane",company,2,"Amazing traction and stability, very satisfied.",Tabasco,9,1684.6,110/70-17,bicycle,2023-12-14,3,off-road,medium,Continental,No,punctures,Word 381,Yes,0.0,0.367,0.633,0.7841,0.0026392550207674503,0.03594231978058815,0.9614183902740479
3,Ian Martinez,individual,2,"Amazing traction and stability, very satisfied.",Baja California,9,4991.04,700x25c,motorcycle,2023-11-21,25,off-road,medium,Pirelli,No,excellent grip,Reality 133,No,0.0,0.367,0.633,0.7841,0.0026392550207674503,0.03594231978058815,0.9614183902740479
4,Elizabeth Strickland,individual,5,"Had frequent punctures, disappointing experience.",Oaxaca,15,4537.99,265/70R17,car,2024-01-15,14,city,low,Bridgestone,No,none,Crime 237,No,0.444,0.556,0.0,-0.4939,0.9316799640655518,0.06349162012338638,0.0048284148797392845
5,Timothy Cruz,individual,4,Excellent performance and smooth ride.,Nayarit,1,4150.57,265/70R17,motorcycle,2024-04-19,31,off-road,low,Michelin,No,excellent grip,Perhaps 726,Yes,0.0,0.519,0.481,0.5719,0.006316032726317644,0.09584909677505493,0.8978348970413208
6,"Bruce, Conway and Stephens",company,1,"Reliable and fuel-efficient, highly recommend.",Tabasco,16,,265/70R17,truck,2024-03-19,20,mixed,low,Goodyear,No,none,Easy 263,Yes,0.0,0.589,0.411,0.4201,0.00265924958512187,0.05935833603143692,0.9379824995994568
7,"Rodriguez, Johnson and Henry",company,4,"Had frequent punctures, disappointing experience.",Yucatán,12,2836.84,265/70R17,truck,2023-03-28,31,city,high,Goodyear,Yes,punctures,Follow 623,No,0.444,0.556,0.0,-0.4939,0.9316799640655518,0.06349162012338638,0.0048284148797392845
8,Elliott Ltd,company,3,"Reliable and fuel-efficient, highly recommend.",Nuevo León,11,2817.04,110/70-17,truck,2022-12-09,36,off-road,low,Goodyear,No,none,That 147,Yes,0.0,0.589,0.411,0.4201,0.00265924958512187,0.05935833603143692,0.9379824995994568
9,Shawn Serrano,individual,3,"Great tires, very durable and reliable.",Nayarit,10,1806.61,110/70-17,truck,2024-09-21,10,city,high,Continental,No,noise,Laugh 764,Yes,0.0,0.549,0.451,0.6249,0.004521752241998911,0.07333018630743027,0.9221481084823608
10,"Davidson, Burns and French",company,1,"Poor grip on wet roads, I expected better.",Sonora,11,2379.03,700x25c,bicycle,2022-04-21,27,mixed,medium,Michelin,No,none,Its 743,Yes,0.282,0.455,0.264,-0.0516,0.7851122617721558,0.19488674402236938,0.02000102400779724
